Country,Subject Descriptor,Units,Scale,2019,2020,2021,Estimates Start After
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,13.619,12.641,13.612,2020
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,596.86","4,267.49","4,594.91",2020
Armenia,"Inflation, average consumer prices",Percent change,,1.443,1.23,6.947,2020
Armenia,Volume of imports of goods and services,Percent change,,13.447,-30.997,-0.934,2020
Armenia,Volume of exports of goods and services,Percent change,,16.921,-35.629,-4.061,2020
Armenia,Population,Persons,Millions,2.963,2.962,2.962,2020
Aruba,"Gross domestic product, constant prices",Percent change,,-2.1,-22.32,12.781,2020
Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,3.31,2.497,2.865,2020
Aruba,"Gross domestic product per capita, current prices",U.S. dollars,Units,"29,505.34","22,483.49","25,700.87",2019
Aruba,"Inflation, average consumer prices",Percent change,,3.938,-1.312,0.265,2020
Aruba,Population,Persons,Millions,0.112,0.111,0.111,2019
Australia,"Gross domestic product, constant prices",Percent change,,1.912,-2.351,3.544,2020
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"1,392.33","1,359.37","1,610.56",2020
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"54,476.91","52,905.40","62,618.59",2020
Australia,"Inflation, average consumer prices",Percent change,,1.566,0.89,2.504,2020
Australia,Volume of imports of goods and services,Percent change,,-0.9,-13.395,6.819,2020
Australia,Volume of exports of goods and services,Percent change,,3.358,-10.132,-0.971,2020
Australia,Employment,Persons,Millions,12.866,12.668,13.023,2020
Australia,Population,Persons,Millions,25.558,25.694,25.72,2020
Austria,"Gross domestic product, constant prices",Percent change,,1.419,-6.179,3.918,2019
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,445.125,432.524,481.209,2019
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"50,246.61","48,592.71","53,793.37",2019
Austria,"Inflation, average consumer prices",Percent change,,1.493,1.391,2.45,2020
Austria,Volume of imports of goods and services,Percent change,,2.448,-9.224,8.352,2019
Austria,Volume of exports of goods and services,Percent change,,2.943,-11.006,7.69,2019
Austria,Employment,Persons,Millions,4.324,4.281,4.308,2019
Austria,Population,Persons,Millions,8.859,8.901,8.946,2019
Azerbaijan,"Gross domestic product, constant prices",Percent change,,2.48,-4.29,2.959,2020
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,48.174,42.607,52.645,2020
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,826.35","4,232.32","5,167.38",2020
Azerbaijan,"Inflation, average consumer prices",Percent change,,2.712,2.824,4.4,2020
Azerbaijan,Volume of imports of goods and services,Percent change,,-0.979,-10.163,-1.308,2020
Azerbaijan,Volume of exports of goods and services,Percent change,,2.388,-8.564,2.439,2020
Azerbaijan,Population,Persons,Millions,9.982,10.067,10.188,2020
The Bahamas,"Gross domestic product, constant prices",Percent change,,0.703,-14.515,2,2019
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,13.164,9.908,10.681,2019
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"34,575.62","25,734.16","27,437.20",2018
The Bahamas,"Inflation, average consumer prices",Percent change,,2.491,0.039,3.021,2019
The Bahamas,Volume of imports of goods and services,Percent change,,-2.78,-26.372,-0.272,2020
The Bahamas,Volume of exports of goods and services,Percent change,,5.759,-67.748,22.303,2020
The Bahamas,Population,Persons,Millions,0.381,0.385,0.389,2018
Bahrain,"Gross domestic product, constant prices",Percent change,,2.559,-5.088,2.441,2020
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,38.467,34.729,39.104,2020
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"25,925.28","23,589.96","26,293.95",2020
Bahrain,"Inflation, average consumer prices",Percent change,,1.006,-2.324,1,2020
Bahrain,Volume of imports of goods and services,Percent change,,-5.568,2.185,-12.58,2020
Bahrain,Volume of exports of goods and services,Percent change,,0.381,3.982,-17.176,2020
Bahrain,Population,Persons,Millions,1.484,1.472,1.487,2020
Bangladesh,"Gross domestic product, constant prices",Percent change,,8.153,3.509,4.599,2020
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,302.397,323.057,355.689,2020
Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,854.67","1,961.61","2,138.79",2020
Bangladesh,"Inflation, average consumer prices",Percent change,,5.475,5.648,5.558,2021
Bangladesh,Volume of imports of goods and services,Percent change,,4.37,-3.577,9.085,2019
Bangladesh,Volume of exports of goods and services,Percent change,,13.988,-12.57,9.39,2019
Bangladesh,Population,Persons,Millions,163.046,164.689,166.303,2020
Barbados,"Gross domestic product, constant prices",Percent change,,-1.287,-18,3.3,2019
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,5.298,4.418,4.648,2019
Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"18,448.83","15,346.28","16,105.13",2019
Barbados,"Inflation, average consumer prices",Percent change,,4.1,2.882,2.468,2020
Barbados,Volume of imports of goods and services,Percent change,,6.189,-10.913,1.079,2019
Barbados,Volume of exports of goods and services,Percent change,,7.878,-37.658,23.175,2019
Barbados,Population,Persons,Millions,0.287,0.288,0.289,2019
Belarus,"Gross domestic product, constant prices",Percent change,,1.446,-0.949,2.071,2020
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,64.414,60.201,65.754,2020
Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,831.52","6,397.51","7,032.48",2020
Belarus,"Inflation, average consumer prices",Percent change,,5.6,5.536,9.231,2020
Belarus,Volume of imports of goods and services,Percent change,,5.279,-9.306,4.092,2020
Belarus,Volume of exports of goods and services,Percent change,,0.151,0.438,8.388,2020
Belarus,Population,Persons,Millions,9.429,9.41,9.35,2020
Belgium,"Gross domestic product, constant prices",Percent change,,1.785,-6.284,5.636,2020
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,533.313,514.92,581.848,2020
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"46,555.09","44,688.46","50,412.71",2020
Belgium,"Inflation, average consumer prices",Percent change,,1.249,0.428,2.362,2020
Belgium,Volume of imports of goods and services,Percent change,,-0.594,-7.254,6.366,2020
Belgium,Volume of exports of goods and services,Percent change,,-0.055,-7.085,7.404,2020
Belgium,Employment,Persons,Millions,4.978,4.977,4.951,2019
Belgium,Population,Persons,Millions,11.456,11.522,11.542,2020
Belize,"Gross domestic product, constant prices",Percent change,,1.761,-14.038,8.5,2020
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,1.983,1.706,1.909,2020
Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,853.32","4,076.77","4,457.89",2020
Belize,"Inflation, average consumer prices",Percent change,,0.186,0.122,3.1,2020
Belize,Volume of imports of goods and services,Percent change,,0.299,-26.044,10.498,2020
Belize,Volume of exports of goods and services,Percent change,,2.116,-34.739,16.963,2020
Belize,Population,Persons,Millions,0.408,0.419,0.428,2020
Benin,"Gross domestic product, constant prices",Percent change,,6.866,3.849,5.511,2019
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,14.392,15.674,18.067,2019
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,218.28","1,290.50","1,446.83",2017
Benin,"Inflation, average consumer prices",Percent change,,-0.933,3.049,3,2019
Benin,Volume of imports of goods and services,Percent change,,-8.378,-13.688,16.856,2019
Benin,Volume of exports of goods and services,Percent change,,-12.058,-14.187,20.684,2019
Benin,Population,Persons,Millions,11.814,12.146,12.487,2017
Bhutan,"Gross domestic product, constant prices",Percent change,,4.279,-0.817,-1.916,2020
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,2.488,2.503,2.48,2020
Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,371.02","3,358.96","3,296.11",2015
Bhutan,"Inflation, average consumer prices",Percent change,,2.82,4.15,6.271,2020
Bhutan,Volume of imports of goods and services,Percent change,,1.993,-9.275,-24.791,2020
Bhutan,Volume of exports of goods and services,Percent change,,-0.07,5.197,-27.496,2020
Bhutan,Population,Persons,Millions,0.738,0.745,0.753,2015
Bolivia,"Gross domestic product, constant prices",Percent change,,2.217,-8.829,4.95,2020
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,41.193,36.839,38.547,2020
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,591.40","3,167.61","3,266.69",2017
Bolivia,"Inflation, average consumer prices",Percent change,,1.839,0.942,1.269,2020
Bolivia,Volume of imports of goods and services,Percent change,,-0.39,-23.801,18.168,2020
Bolivia,Volume of exports of goods and services,Percent change,,2.509,-18.72,5.532,2020
Bolivia,Population,Persons,Millions,11.47,11.63,11.8,2017
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,2.831,-4.327,2.8,2020
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,20.203,19.789,21.692,2020
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,120.16","6,035.00","6,647.83",2018
Bosnia and Herzegovina,"Inflation, average consumer prices",Percent change,,0.559,-1.052,1.819,2020
Bosnia and Herzegovina,Volume of imports of goods and services,Percent change,,1.344,-14.036,3.446,2020
Bosnia and Herzegovina,Volume of exports of goods and services,Percent change,,0.482,-18.077,7.797,2020
Bosnia and Herzegovina,Population,Persons,Millions,3.301,3.279,3.263,2018
Botswana,"Gross domestic product, constant prices",Percent change,,2.993,-8.493,9.162,2020
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,16.592,15.064,17.605,2020
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"7,219.46","6,420.23","7,349.88",2019
Botswana,"Inflation, average consumer prices",Percent change,,2.745,1.89,5.803,2020
Botswana,Volume of imports of goods and services,Percent change,,11.939,5.155,0.63,2020
Botswana,Volume of exports of goods and services,Percent change,,-7.091,-18.084,39.957,2020
Botswana,Population,Persons,Millions,2.298,2.346,2.395,2019
Brazil,"Gross domestic product, constant prices",Percent change,,1.411,-4.059,5.229,2020
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"1,877.82","1,444.72","1,645.84",2020
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"8,935.76","6,822.56","7,741.15",2019
Brazil,"Inflation, average consumer prices",Percent change,,3.733,3.212,7.699,2020
Brazil,Volume of imports of goods and services,Percent change,,5.288,-7.699,10.65,2020
Brazil,Volume of exports of goods and services,Percent change,,-1.579,-1.249,8.963,2020
Brazil,Population,Persons,Millions,210.147,211.756,212.609,2019
Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,3.869,1.113,1.974,2020
Brunei Darussalam,"Gross domestic product, current prices",U.S. dollars,Billions,13.47,12.003,15.686,2020
Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"29,314.11","26,061.00","33,979.37",2020
Brunei Darussalam,"Inflation, average consumer prices",Percent change,,-0.418,1.937,2.5,2020
Brunei Darussalam,Volume of imports of goods and services,Percent change,,13.766,-2.055,31.8,2020
Brunei Darussalam,Volume of exports of goods and services,Percent change,,14.881,7.525,22.769,2020
Brunei Darussalam,Population,Persons,Millions,0.46,0.461,0.462,2020
Bulgaria,"Gross domestic product, constant prices",Percent change,,3.694,-4.154,4.54,2020
Bulgaria,"Gross domestic product, current prices",U.S. dollars,Billions,68.563,69.209,77.907,2020
Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"9,863.02","10,006.35","11,331.87",2020
Bulgaria,"Inflation, average consumer prices",Percent change,,2.457,1.219,2.095,2020
Bulgaria,Volume of imports of goods and services,Percent change,,5.172,-6.029,5.02,2020
Bulgaria,Volume of exports of goods and services,Percent change,,3.87,-11.577,5.099,2020
Bulgaria,Population,Persons,Millions,6.951,6.917,6.875,2020
Burkina Faso,"Gross domestic product, constant prices",Percent change,,5.699,1.93,6.667,2020
Burkina Faso,"Gross domestic product, current prices",U.S. dollars,Billions,15.991,17.378,19.932,2020
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,786.929,831.013,926.2,2018
Burkina Faso,"Inflation, average consumer prices",Percent change,,-3.233,1.885,3,2020
Burkina Faso,Volume of imports of goods and services,Percent change,,-2.652,5.277,16.529,2020
Burkina Faso,Volume of exports of goods and services,Percent change,,-0.052,-7.061,5.205,2020
Burkina Faso,Population,Persons,Millions,20.321,20.912,21.521,2018
Burundi,"Gross domestic product, constant prices",Percent change,,1.842,-1.04,1.634,2019
Burundi,"Gross domestic product, current prices",U.S. dollars,Billions,3.012,3.04,3.193,2019
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,261.294,255.984,261.053,2016
Burundi,"Inflation, average consumer prices",Percent change,,-0.709,7.305,5.573,2020
Burundi,Volume of imports of goods and services,Percent change,,45.588,-17.818,6.08,2020
Burundi,Volume of exports of goods and services,Percent change,,-15.813,-15.366,4.93,2020
Burundi,Population,Persons,Millions,11.529,11.875,12.231,2016
Cabo Verde,"Gross domestic product, constant prices",Percent change,,5.668,-14.783,3.995,2019
Cabo Verde,"Gross domestic product, current prices",U.S. dollars,Billions,1.982,1.707,1.886,2019
Cabo Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,601.73","3,065.48","3,346.55",2018
Cabo Verde,"Inflation, average consumer prices",Percent change,,1.106,0.605,1.5,2019
Cabo Verde,Volume of imports of goods and services,Percent change,,-3.457,-7.982,-1.642,2019
Cabo Verde,Volume of exports of goods and services,Percent change,,10.152,-53.248,14.982,2019
Cabo Verde,Population,Persons,Millions,0.55,0.557,0.563,2018
Cambodia,"Gross domestic product, constant prices",Percent change,,7.054,-3.141,1.932,2020
Cambodia,"Gross domestic product, current prices",U.S. dollars,Billions,27.088,25.192,26.08,2020
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,736.42","1,606.81","1,647.02",2019
Cambodia,"Inflation, average consumer prices",Percent change,,2.014,2.94,2.475,2020
Cambodia,Volume of imports of goods and services,Percent change,,18.037,-3.123,-2.137,2019
Cambodia,Volume of exports of goods and services,Percent change,,13.908,-5.41,-5.348,2019
Cambodia,Population,Persons,Millions,15.6,15.678,15.835,2019
Cameroon,"Gross domestic product, constant prices",Percent change,,3.721,-1.541,3.625,2020
Cameroon,"Gross domestic product, current prices",U.S. dollars,Billions,39.009,39.938,44.806,2020
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,507.51","1,504.50","1,645.81",2019
Cameroon,"Inflation, average consumer prices",Percent change,,2.452,2.438,2.3,2020
Cameroon,Volume of imports of goods and services,Percent change,,22.781,-14.713,5.597,2020
Cameroon,Volume of exports of goods and services,Percent change,,-2.217,-8.514,-3.053,2020
Cameroon,Population,Persons,Millions,25.876,26.546,27.224,2019
Canada,"Gross domestic product, constant prices",Percent change,,1.861,-5.313,5.688,2020
Canada,"Gross domestic product, current prices",U.S. dollars,Billions,"1,741.58","1,644.04","2,015.98",2020
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"46,399.71","43,294.80","52,791.23",2020
Canada,"Inflation, average consumer prices",Percent change,,1.949,0.717,3.152,2020
Canada,Volume of imports of goods and services,Percent change,,0.346,-11.187,12.695,2020
Canada,Volume of exports of goods and services,Percent change,,1.267,-10.053,5.035,2020
Canada,Employment,Persons,Millions,18.979,18.005,18.769,2020
Canada,Population,Persons,Millions,37.534,37.973,38.188,2020
Central African Republic,"Gross domestic product, constant prices",Percent change,,2.97,0.97,-0.998,2017
Central African Republic,"Gross domestic product, current prices",U.S. dollars,Billions,2.277,2.387,2.587,2017
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,479.846,494.186,525.914,2004
Central African Republic,"Inflation, average consumer prices",Percent change,,2.685,2.304,3.654,2020
Central African Republic,Volume of imports of goods and services,Percent change,,8.668,-0.925,-7.3,2017
Central African Republic,Volume of exports of goods and services,Percent change,,-1.782,-4.22,-6.152,2017
Central African Republic,Population,Persons,Millions,4.745,4.83,4.92,2004
Chad,"Gross domestic product, constant prices",Percent change,,2.96,-0.821,0.939,2017
Chad,"Gross domestic product, current prices",U.S. dollars,Billions,10.934,10.836,12.345,2017
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,685.677,659.674,729.844,2004
Chad,"Inflation, average consumer prices",Percent change,,-0.972,4.464,2.627,2020
Chad,Volume of imports of goods and services,Percent change,,4.035,4.827,8.056,2015
Chad,Volume of exports of goods and services,Percent change,,9.546,10.044,4.992,2015
Chad,Population,Persons,Millions,15.947,16.426,16.915,2004
Chile,"Gross domestic product, constant prices",Percent change,,1.015,-5.845,10.999,2020
Chile,"Gross domestic product, current prices",U.S. dollars,Billions,279.338,252.821,331.25,2020
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"14,619.50","12,992.98","16,799.37",2020
Chile,"Inflation, average consumer prices",Percent change,,2.251,3.044,4.191,2020
Chile,Volume of imports of goods and services,Percent change,,-2.38,-12.835,30.899,2020
Chile,Volume of exports of goods and services,Percent change,,-2.583,-1.065,-0.173,2020
Chile,Population,Persons,Millions,19.107,19.458,19.718,2020
China,"Gross domestic product, constant prices",Percent change,,5.951,2.342,8.015,2020
China,"Gross domestic product, current prices",U.S. dollars,Billions,"14,340.60","14,866.74","16,862.98",2020
China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"10,170.06","10,511.34","11,891.20",2020
China,"Inflation, average consumer prices",Percent change,,2.903,2.39,1.066,2020
China,Volume of imports of goods and services,Percent change,,-3.662,-1.376,19.113,2020
China,Volume of exports of goods and services,Percent change,,0.445,2.204,19.699,2020
China,Population,Persons,Millions,"1,410.08","1,414.35","1,418.11",2020
Colombia,"Gross domestic product, constant prices",Percent change,,3.281,-6.796,7.608,2020
Colombia,"Gross domestic product, current prices",U.S. dollars,Billions,323.375,271.554,300.791,2020
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"6,546.63","5,390.92","5,892.14",2020
Colombia,"Inflation, average consumer prices",Percent change,,3.522,2.522,3.207,2020
Colombia,Volume of imports of goods and services,Percent change,,7.344,-15.696,6.207,2020
Colombia,Volume of exports of goods and services,Percent change,,3.071,-9.761,0.494,2020
Colombia,Population,Persons,Millions,49.396,50.372,51.049,2020
Comoros,"Gross domestic product, constant prices",Percent change,,1.756,-0.504,1.6,2019
Comoros,"Gross domestic product, current prices",U.S. dollars,Billions,1.188,1.216,1.281,2019
Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"1,359.75","1,355.30","1,390.06",2015
Comoros,"Inflation, average consumer prices",Percent change,,3.701,0.8,-1.045,2019
Comoros,Volume of imports of goods and services,Percent change,,-1.975,2.132,-4.792,2020
Comoros,Volume of exports of goods and services,Percent change,,-0.521,-34.33,24.345,2020
Comoros,Population,Persons,Millions,0.874,0.897,0.921,2015
Democratic Republic of the Congo,"Gross domestic product, constant prices",Percent change,,4.39,1.735,4.862,2020
Democratic Republic of the Congo,"Gross domestic product, current prices",U.S. dollars,Billions,50.399,48.707,54.832,2020
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,580.695,543.834,593.558,2020
Democratic Republic of the Congo,"Inflation, average consumer prices",Percent change,,4.705,11.358,9.393,2020
Democratic Republic of the Congo,Volume of imports of goods and services,Percent change,,-13.012,0.726,32.152,2020
Democratic Republic of the Congo,Volume of exports of goods and services,Percent change,,-7.109,7.886,12.244,2020
Democratic Republic of the Congo,Population,Persons,Millions,86.791,89.561,92.378,2020
Republic of Congo,"Gross domestic product, constant prices",Percent change,,-0.431,-8.169,-0.164,2018
Republic of Congo,"Gross domestic product, current prices",U.S. dollars,Billions,12.791,10.329,12.744,2018
Republic of Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,800.29","2,206.17","2,655.72",2018
Republic of Congo,"Inflation, average consumer prices",Percent change,,2.207,1.818,1.983,2019
Republic of Congo,Volume of imports of goods and services,Percent change,,-8.808,-19.791,-6.553,2018
Republic of Congo,Volume of exports of goods and services,Percent change,,0.277,-2.248,3.017,2018
Republic of Congo,Population,Persons,Millions,4.568,4.682,4.799,2020
Costa Rica,"Gross domestic product, constant prices",Percent change,,2.256,-4.064,3.9,2020
Costa Rica,"Gross domestic product, current prices",U.S. dollars,Billions,64.067,61.833,61.46,2020
Costa Rica,"Gross domestic product per capita, current prices",U.S. dollars,Units,"12,623.19","12,056.96","11,860.22",2020
Costa Rica,"Inflation, average consumer prices",Percent change,,2.098,0.724,1.343,2020
Costa Rica,Volume of imports of goods and services,Percent change,,0.051,-7.895,8.935,2020
Costa Rica,Volume of exports of goods and services,Percent change,,3.089,-9.481,11.9,2020
Costa Rica,Population,Persons,Millions,5.075,5.128,5.182,2020
C?te d'Ivoire,"Gross domestic product, constant prices",Percent change,,6.232,1.995,5.956,2017
C?te d'Ivoire,"Gross domestic product, current prices",U.S. dollars,Billions,58.539,61.231,68.845,2017
C?te d'Ivoire,"Gross domestic product per capita, current prices",U.S. dollars,Units,"2,227.98","2,271.38","2,489.10",2015
C?te d'Ivoire,"Inflation, average consumer prices",Percent change,,0.806,2.4,3,2019
C?te d'Ivoire,Volume of imports of goods and services,Percent change,,-1.821,7.331,3.238,2019
C?te d'Ivoire,Volume of exports of goods and services,Percent change,,16.693,-3.335,2.04,2019
C?te d'Ivoire,Population,Persons,Millions,26.275,26.958,27.659,2015
Croatia,"Gross domestic product, constant prices",Percent change,,2.858,-8.029,6.3,2020
Croatia,"Gross domestic product, current prices",U.S. dollars,Billions,60.752,56.171,63.399,2020
Croatia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"14,945.18","13,895.94","15,807.70",2020
Croatia,"Inflation, average consumer prices",Percent change,,0.772,0.106,1.983,2020
Croatia,Volume of imports of goods and services,Percent change,,6.348,-13.797,8.998,2020
Croatia,Volume of exports of goods and services,Percent change,,6.801,-24.953,15.01,2020
Croatia,Population,Persons,Millions,4.065,4.042,4.011,2020
Cyprus,"Gross domestic product, constant prices",Percent change,,3.076,-5.104,4.766,2020
Cyprus,"Gross domestic product, current prices",U.S. dollars,Billions,24.953,23.785,26.546,2020
Cyprus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"28,487.98","26,784.89","29,486.28",2020
Cyprus,"Inflation, average consumer prices",Percent change,,0.551,-1.097,1.671,2020
Cyprus,Volume of imports of goods and services,Percent change,,1.951,-4.197,5.25,2020
Cyprus,Volume of exports of goods and services,Percent change,,-0.409,-12.39,6.584,2020
Cyprus,Employment,Persons,Millions,0.416,0.417,0.422,2020
Cyprus,Population,Persons,Millions,0.876,0.888,0.9,2020
Czech Republic,"Gross domestic product, constant prices",Percent change,,3.029,-5.794,3.787,2019
Czech Republic,"Gross domestic product, current prices",U.S. dollars,Billions,252.498,245.349,276.914,2019
Czech Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"23,709.18","22,942.86","25,806.38",2019
Czech Republic,"Inflation, average consumer prices",Percent change,,2.848,3.161,2.725,2019
Czech Republic,Volume of imports of goods and services,Percent change,,1.545,-6.859,10.825,2019
Czech Republic,Volume of exports of goods and services,Percent change,,1.479,-6.924,10.7,2019
Czech Republic,Employment,Persons,Millions,5.306,5.239,5.212,2019
Czech Republic,Population,Persons,Millions,10.65,10.694,10.73,2019
Denmark,"Gross domestic product, constant prices",Percent change,,2.114,-2.061,3.8,2020
Denmark,"Gross domestic product, current prices",U.S. dollars,Billions,347.561,356.085,396.666,2020
Denmark,"Gross domestic product per capita, current prices",U.S. dollars,Units,"59,861.61","61,153.92","67,919.59",2019
Denmark,"Inflation, average consumer prices",Percent change,,0.729,0.333,1.4,2020
